year, month, day, mean_MO_par, stdev_MO_par, anomaly_MO_par, climato_MO_par, pct_valid_pixels
2023, 01, 01, 49.6823, 0.627412, -0.668933, 50.3512, 100.00
2023, 02, 01, 50.6728, 0.838608, -0.236534, 50.9093, 100.00
2023, 03, 01, 48.8928, 0.503305, -0.679467, 49.5723, 100.00
2023, 04, 01, 41.2160, 0.885298, -1.81400, 43.0300, 100.00
2023, 05, 01, 37.6303, 0.462533, 0.334933, 37.2953, 100.00
2023, 06, 01, 36.1688, 0.268274, 1.80160, 34.3672, 100.00
2023, 07, 01, 37.1132, 0.479323, 0.811468, 36.3017, 100.00
2023, 08, 01, 41.1027, 1.03599, -0.0633336, 41.1660, 100.00
2023, 09, 01, 40.3724, 0.877528, -7.15467, 47.5271, 100.00
2023, 10, 01, 48.4171, 1.31881, -3.05480, 51.4719, 100.00
2023, 11, 01, 43.5853, 1.24567, -8.44467, 52.0300, 100.00
2023, 12, 01, 49.7795, 0.955609, -1.99747, 51.7769, 100.00
2024, 01, 01, 45.1477, 1.48103, -5.20347, 50.3512, 100.00
2024, 02, 01, 48.1684, 1.13805, -2.74093, 50.9093, 100.00
2024, 03, 01, 49.0143, 0.834791, -0.558001, 49.5723, 100.00
2024, 04, 01, 45.3148, 0.555647, 2.28480, 43.0300, 100.00
2024, 05, 01, 37.9484, 0.487196, 0.653067, 37.2953, 100.00
2024, 06, 01, 32.2275, 0.791681, -2.13973, 34.3672, 100.00
